2	ab	ady	ain	ale	arb	av	azj	ba	be	bg	bn	br	bsk	bua	ca	ce	ckt	cmn	cs	cv	cy	da	dar	ddo	de	ekk	el	en	enf	es	ess	eu	evn	fi	fr	ga	gld	he	hi	hr	hu	hy	is	it	itl	ja	ka	kca	ket	khk	kk	kl	kmr	kn	ko	koi	kpv	krl	la	lbe	lez	liv	lt	lv	mdf	mhr	ml	mnc	mns	mrj	myv	nio	niv	nl	no	olo	os	pbu	pes	pl	pt	ro	ru	sah	se	sel	sjd	sk	sl	sma	smj	smn	sms	sq	sv	ta	te	tr	tt	udm	uk	uzn	vep	xal	ykg	yrk	yux
Glück::N	аразҟы	насы́п		anǵitana-x́	سعادة	талихӏ-рохел, талихӏ	səadət, xoşbəxtlik	бәхет	шчасце	щастие	সুখ	chañs	baqt, barkát	жаргал	felicitat	ирс	тан’ытвагыргын	运气	štěstí	телей, ӑраскал	hapusrwydd	lykke	игъбар	талихӏ	Glück	õnn	ευτυχία	happiness	дяб	felicidad	кынтатылъыӄ	zori	куту	onni	bonheur	séan, sonas	кэси	אשר	आनंद, ख़ुशी	sreća	boldogság	երջանկություն	gæfa	felicità		幸せ	ბედნიერება	ой, сюнь		жаргалан	бақыттылық, бақыт	usornarsuseq, usornaat	bext	ಆನಂದ	즐거움	мичлун	шуд	onni	felicitas	талихӏ	бахт	vȯņ	laimė	laime	паваз	пиа́л	സന്തോഷം, സന്തുഷ്ടി	keksen, urgun	сюнь, со̄т	пиӓл	уцяска	тала	к’ыс	geluk	lykke	oza	амонд	بخت	اقبال	szczęście	felicidade	fericire	счастье	дьол, соргу	lihkku	кыӈ эӈа	вуэссь	šťastie	sréča	læhkoe	ávvo	uási, lukko	lekk, vuâ´ss	lumturi	lycka	மகிழ்ச்சி	సంతోషము	mutluluk	бәхет	шуд	щастя	saodat	oza	сәәхн җирһл, җирһл	мааруол	яб	pöďel
Gold::N	ахьы	дышъэ́	kongane	suuluta-x́	ذهب	месед	altun	алтын	золата	злато	স্বর্ণ	aour	altún	алтан	or	деши	золото	金子	zlato	ылтӑн	aur	guld	мургьи	месед	Gold	kuld	μάλαμα, χρυσάφι	gold	золота	oro	маникаӽӄаӄ	urregorri, urre	алтан, золото	kulta	or	ór	айсин	זהב	स्वर्ण, सोना	zlato	arany	ոսկի	gull	oro		金	ოქრო	сорни	солта	алт	алтын	kuulti	zêr	ಚಿನ್ನ	항금	зарни	зарни	kulta	aurum	муси	алтун	kūlda	auksas	zelts	золота, ока	шӧ́ртньӧ	സ്വർണ്ണം	aisin	со̄рни	шöртньӹ, шöртни	сырне	соләту	айзӈ, айс	goud	gull	kuldu	сыгъзӕрин	سره زر	زر, طلا	złoto	ouro	aur	золото	көмүс, кыһыл көмүс	golli	золота	коалль	zlato	zlató	gullie	gålle	kolle	kå´ll	ar, flori	guld	தங்கம்	బంగారము	altın	алтын	зарни	золото	tilla	kuld	алтн	ньамучэньил	солот	
Grab::N	анышəынҭра	бэны́	tushiri	qumna-x́	قبر	хоб	qəbir	ҡәбер	магіла	гроб	কবর	bez	qam	хүүр	tomba	каш	панэнальытван	坟墓	hrob	масар шӑтӑкӗ	bedd	grav	хӏяб	шуд	Grab	haud	τάφος	grave	пубу	sepulcro, tumba		hilobi, hobi	бунирук	hauta	tombe	uaigh	хумун	קבר	क़ब्र	raka	sír	գերեզման	gröf	tomba, sepolcro		墓	საფლავი, სამარე		баӈуль	булш	мола, мазар	iliveq, illissat	mezel	ಗೋರಿ	무덤	гу	гу	kalma, hauta	sepulcrum	гьав	сур	kālma	kapas	kaps	калма	шӱга́р	ശവക്കുഴി	eifu, tomon	йӣв	мыгилӓ, шӹгерлӓ, шӹгер	калмо	хуані, бәз̌үрбүо		graf	grav	kalmu	ингӕн	قبر, ډورۍ	مزار, گور	grób	sepultura, túmulo	groapă, mormânt	могила	иин	hávdi	ӄумыт кыл	ка̄лльм	hrob	gròb	gaelmie	ráhpo, hávdde	hävdi	äu´dd	varr	grav	சமாதி	సమాధి	kabir	кабер, гүр	шайгу	могила	go'r	kaum	оршалһна нүкн		пэ̇мбˮ(д)	
Gras::N	аҳасакьын	уцы́	mun	qiiga-x́	حشيش	хер	ot	үлән	трава	трева	ঘাস	geot	ṣiqá	ногоон	herba	буц	въаглын’ын	草	tráva	курӑк	glaswellt	græs	кьар	бих	Gras	rohi	χόρτο, χορτάρι	grass	ӈуу	hierba	выгаӄ	belar	чӯка	ruoho	herbe	féar	нядяха	דשא	घास	trava	fű	խոտ	gras	erba	˚сысал	草	ბალახი	торн	даань, даан	ногоо, өвс	от	ivigaq	giha	ಹುಲ್ಲು	풀	турун	турун	heinä	herba, gramen	уртту	хъач	āinad	žolė	zāle	тише	шу́до	പുല്ല്	orho	пум	шуды	тикше	нөтә	чӈыр	gras	gress	heiny	кӕрдӕг	واښه	علف	trawa	erva	iarbă	трава	от	rássi	нюты	ра̄ссь	tráva	tráva	kraesie	rásse	rääsi	rää´ss	bar	gräs	புல்தரை	పచ్చగడ్డి	ot, çim	үлән	турын	трава	sabza	hein	ноһан	ульэгэ, ульэгэӈ	ӈамдэˮ(д)	uľegə
Grenze::N	аҳəаа	гъуна́пкъ	ukouturuge	akiix́t-	حدود	гӏорхъи	hüdud, sərhət	сик	граніца	граница	সীমা	harzoù	ṣaṅ, muś	хилэ	frontera	доза	нотакылвыгыргын, граница	边界	hranice	чикӗ	goror, ffin	grænse	дазу	гӏурхъи	Grenze	piir	σύνορα	border		frontera	тырылъыӄ	muga	муе, граница	raja	frontière	teorainn, críoch		גבול	सरहद	granica	határ	սահման	landamæri	frontiera, confine	граница	国境	ზღვარი	граница		хил	шек	killik	kevî	ಗಡಿ	국경	граница	суйӧр, су	raja	limes	дазу	сергьят	rubīž, ežā	siena, riba	robeža	ёткаян	грани́ца	അതിർത്തി	gūsihiya	граница	пӹсмӓн	буен тешкс	хуой		grens	grense	raja	арӕн	حد, سرحد	مرز	granica	fronteira	hotar, frontieră, graniță	граница	кыраныысса	rádji	граница	ре̄ввьн	hranica	mêja	raajoe	mierre, rádjá	rääji	raajj	kufi	gräns	எல்லை	సరిహద్దు	had, sınır	чик	кунгож	кордон	chegara	röun	меҗә		граница	jaġil
Griff::N	амаа	къопс	nichihi	hasxi-x́	قبضة	гӏоркь	tutacaq, qulp	тотҡа	ручка	ръчка, дръжка	হাতল	kemer	yan	эшэ, барюул	puny, mànec		рынрыпойгын, рынрыян, рынрилгын	把柄	držadlo	хӑлӑп	carn	tag, håndtag	ар	гӏокь	Griff	sang, käepide	λαβή	handle	пир, ручка	mango, asa	пу, тугумавик	eskutoki	дявалган	kahva, ripa	prise, manche	hanla, cos	дяпако	ידית	हत्था, मूठ	ručica, držak	fogantyú, nyél	կոթ, բռնակ	tak	mànico, maniglia		取っ手	ტარი	наӆ	донуль	иш, сэнж	сап, тұтқа	ipi	destî	ಹಿಡಿ	움켜쥠	пу	нуд	ponsi, varsi	manubrium	куяму	ттум	kä’dpi’dtõb, kä’dakātõb, akātõks	rankena, kotas	kāts, rokturis	недь, кунда́мка	кыл	കൈപ്പിടി	fesin, jafakū	ка̄ткве	кычем	кедне	кәми, нир, хоӈкә		handvat	håndtak, tak	varzi, kiägy	фистон	لاستی	دسته	chwyt	asa, cabo	mâner	ручка	тутаах, ук	geavja	паӄӄы	нэ̄дт	rukoväť	ročáj, oprijèm	rehpie, taatje	guottáldahka, gavlla	novdâ	nõđđ, kå´ǧǧ	dorezë, dorak	tag, handtag	கைப்பிடி	పిడి	kulp, tutamak	тотка	ныд	ручка, держак	sop, tutqich	kägä, varz'	бәрүл, иш	моойнубэ	пӑӈг, нирˮ	mojbə, mejnubə
Grube::N	атыша, ажра	машэ́	tonchi	hangux	نقرة	гвенд	çuxur	соҡор	яма	дупка, яма	গর্ত		qam	унуули	sot, clot	ор	рыгъёлгын	坑	jáma	шӑтӑк	pydew, pwll	grav	дукъ	архи	Grube	kaevand	λάκκος	pit	баг	foso	ляӷу̌аӄ	hobi	ниру	kuoppa	fosse	poll	чоӈдо̄	בור, שוחה	गड्ढा	jama	verem	փոս	gryfja	fossa, cava	ӄэ’м	穴	ორმო	лот	хъӄтоль	нүх, алам	ор	itersaq	çahl	ಗುಂಡಿ		яма	гу	kuoppa	fovea	кӏаланг	фур	kōvandõks	duobė	bedre	лотка	выне́м	കുഴി	yeru	во̄ӈха	йӓм	латко	ӈәрмә	тулкс	kuil	grop	kuoppu, haudu	дзыхъхъ, къахт, урм	کنده	گودال	dół, jama	cova, fossa	groapă	яма	дьаама	gohpi, roggi	коршок	коабпь	jama	jáma	haevtie	rågge	rogge, kyep'pi	kåå´pp, rå´ǧǧ	gropë	grop	குழி	గొయ్యి	çukur	баз, чокыр	гоп, гу	яма	co'ra	kop	нүкн	хаварха	ваӈг	qonqə, iŋer
Grund::N	амзыз	ушъхьагъу	ika	kangu-x́	سبب	багьана	səbəb	сәбәп	зачэпка	причина	কারণ	kaoz	wája, sabáp	шалтагаан	causa, raó	бахьана	энаач	理由	důvod	сӑлтав	rheswm, achos	grund	гӏянжи	гӏилла, багьана	Grund	põhjus	λόγος	reason	кора	causa		zergati	тургун, дярин	peruste, syy	cause, raison	fáth		סבה	वजह, कारण	razlog	ok, alap	պատճառ	ástæða	motivo, causa, ragione		理由	მიზეზი	нар		учир	себеп	patsit	asas	ಕಾರಣ	까닭	мог	помка	syy	causa	багьана	себеб	vigā, pū’oj	priežastis	pamats, iemesls	туфта́л	ама́л	കാരണം	giyan, turgun	нар, нак	вир	тувтал	ләруа		reden	grunn	syy	ӕфсон	علت, اساس	سبب, دلیل	powód	motivo, causa	cauză, pricină	повод	төрүөт	sivva		а̄шшь	príčina, dôvod	vzròk	sjïeke	sivva	suijâ	ää´šš	arsye	grund, skäl	காரணம்	కారణము	sebep	сәбәп	ньӧм, муг	причина	sabab	sü	учр, шалтан		еˮэ̆й	
Größe::N	изаҟароу	иина́гъ		hana-	حجم	кӏодо́лъи	böyüklük	ҙурлыҡ	памер	големина	আয়তন	ment	uyúmkuṣ	ехэ багань, хэмжээ, хэм	grandària	барам		大小	velikost	пысӑкӑш	maint, maintioli	størrelse	кьадар		Größe	suurus	μέγεθος	size	ар	tamaño	аӈталътуталя	tamaina, kaizu	хэгды	suuruus, koko	grandeur	méid, toise		גדל	विस्तार, परिमाण	veličina	nagyság	մեծություն	stærð	grandezza, taglia		大きさ	სიდიდე, ზომა		хытай	хэмжээ	көлемдік, ауқым	angissuseq	mezinî	ಪ್ರಮಾಣ	신장	ыжда	ыджда	suurus	magnitudo		кьадар	sūŗit	dydis, didumas	lielums	серь	кӱ́кшыт	വലുപ്പം	urgen	яныт	кӱкшӹц	сэрь, покшолма	мандіˮ		grootte	størrelse	suurus	ас	قد, لويوالی	قد, بزرگی	wielkość, rozmiar	tamanho	mărime	размер	кээмэй	allodat, mahtodat, stūrrodat	мөнты	роаӈӈьк	veľkosť	veličína	ståaroe	stuorrudahka	stuá'ṛudâh		madhësi	storlek	அளவு	పరిమాణము	büyüklük	зурлык	быдӟала	розмір	kattalik	suruz'	кемҗән	размер	ӈарӑд	
Gürtel::N	амаҟа	бгыры́пх	kut	chachx́u-x́	حزام	рачел	kəmər	ҡайыш	пояс	пояс, колан	কটিবন্ধ	gouriz	ikán	һур	cinturó	доьхка	ричит	腰带	pás, opasek	пиҫиххи	gwregys	bælte	камал, ири	ашуни	Gürtel	vöö	ζώνη	belt	ней	cinturón	тафси	gerriko	бусэ	vyö	ceinture	crios	омол	חגורה	पेटी, मेखला	pojas, pas	öv	գոտի	belti	cintura	сыт	ベルト, 帯	ქამარი	антап	куʼт	бүс	белбеу	qiterut, unngersaq	qayiş	ಬೆಲ್ಟು	밴드	йи	вӧнь	vyö	cingulum	мухӏлу	чӏул	jū’ost	juosta, diržas	josta	каркс	ӱ́штӧ	ബെൽറ്റ്	umiyesun, telgin	энтап	ӹштӹ	каркс	ӈиәде	вивус	riem, gordel	belte	vyö, remeni	рон	کمربند	کمر‌بند	pasek	cinto	cordon	пояс	кур	boagán	чӱ	эвв	pás, opasok	pás	juvvie, beelhte	avve, getsam	pooṿij	puäǥǥanj	rrip	bälte	பெல்ட்	పటకా	kuşak	билбау	кускерттон	пояс	tasma	vö	бүс	ниӈиэд игийэ	ни	jȫ, aŋdil-amdī
Haar::N	ахəыц	шъхьацы́	otop	imli-x́	شعر	рас	saç	сәс	валасы, волас	косъм, коса	চুল	blev	bur	үһэн	cabēll	мас	кырвир	头发	vlasy, vlas	ҫӳҫ	blew	hår	гъез	мус	Haar	juus	μαλλιά	hair	иту	cabello	нуят	ile, bilo	нюриктэ	tukka, hius	cheveu	gruaig	нуктэ	שערה	बाल	kosa	haj	մազ	hár	capello	к’ими’н	髪	თმა	охсох	тәӈ	үс	қыл	meqqoq	por	ಕೂದಲು	털	юрси	юрси, си	hivus	capillus	чӏара	чӏар	ibūkst	plaukai	mats	шя́ярь	ӱп	തലമുടി	funiyehe	а̄т	ӱп	черь	ӈабтә	ӈыӈг	haar	hår	hivus	хил	وېښته	مو	włos, włosy	cabelo	păr	волосы, волос	баттах	vuokta	опты	вӯппт	vlas	lás	voepte	vuoppta	vuop'tâ	vuõpt	flokë	hår	முடி	వెండ్రుక	saç	чәч	йырси	волосся	soch	hibuz, tuk	үсн	монильэ	ӈэбт	majlə, pugelbē
Haken::N	аҵəаҳə	хьажтӏаркъу	naukep	qigda-x́	صنارة, خطاف	гъанцӏа	çəngəl	ыргаҡ	крук	кука, закачалка	কাচি	krog	khaỵ	гохо, дэгээ	ganxo	мӏара	черунэн’	钩子	hák	йӑрхах, ҫекӗл	bach	krog		кици	Haken	haak, konks	αγκίστρι, γάντζος	hook	боза	gancho, corchete		mako	гоко	haka, koukku	croc, crochet	croch	гохо	קרס, וו	अंकुश	kuka	kampó	կարթ	krókur	uncino		フック, 鉤	კავი, კაუჭი	няши	кырук, сюль	гох	ілмек	nissik, qarsorsaq, qarsorsartoq	çenqel	ಕೊಂಡಿ	갈고리	ем	крук	koukku	hamus	къича	къармах	knǭ’š, ǭik	vagis, kablys	āķis, kāsis, krampis	кя́чказ	са́гыле	കൊളുത്ത്	gohon, tabukū	лякан, няс	крӱк, кагак	кечказ	бәӈүтүә, хядир		haak	krok	huahlu, kočku	хæдз, хæбырæгъ	څنګک	قلاب	hak	gancho	cârlig	крюк	көхө	faggi, roahkki	нуп	ва̄ӈӈк, куэххьк	hák, háčik	kljúka	kruehkie	ruohkke, vagge	kuák'ki	kuä´ǩ'ǩ	grremç, grep	krok	கொக்கி	కొక్కెము	çengel	ыргак	курик	крюк	ilgak	kouk	дегә	йэхлэмэйэ	вӑдӑ	kökö-rā
Hals::N	ахəда	пшъэ	rekuchi	uyu-x́	رقبة, عنق	габур	boyun	муйын	шыя	врат	গল	gouzoug	buk	хүзүүн	coll	ворта	и’тын	颈	krk	пыр	gwddf	hals	хъяб	мечӏ	Hals	kael	λαιμός	neck	бяк	cuello	уяӄуӄ	sama	никимна	kaula	cou	muinéal	моӈгон	צואר	गला, गरदन	vrat	nyak	պարանոց, վիզ	háls	collo	хэйтэн	首	კისერი, ყელი	сапаӆ	кәӄтэ, кәӄт	хүзүү	мойын	qungaseq	qirik, stû	ಕೊರಳು	목	юан	сьылі	kakla	collum	ссурссу	гардан	ka’ggõl	kaklas	kakls	сялдаз	шӱй	കഴുത്ത്	meifen, monggon	сыплув	шӱ	кирьга	бакәз̌әә	ӄ’ос	hals	hals	kaglu	къубал	غاړه	گردن	szyja	colo, pescoço	gât	шея	моой	čeabet	сой	ча̄пэх	krk	vrát	tjeapohke	tjiebet	čiäppát	čeäppat	qafë	hals	கழுத்து	మెడ	boyun, gerdan	бугаз	чырты	шия	bo'yin	kagl	күзүн	ньамиил	ик	jomil
Hand::N	анапы	ӏэтхьэцу	tek	cha-x́	يد	квер	əl	ҡул суғы, ҡул	кісць	китка, ръка	হাত	dorn	-ríiṅ	гар	mà	куьг	мынгылгын, кагынмылгын	手	ruka	алӑ сыппи	llaw	hånd	някъ	рекьа	Hand	käsi	χέρι	hand	уза кора	mano	иха	esku	чурга	käsi	main	lámh	ӈа̄ла	יד	हाथ, हस्त	ruka	kéz	ձեռք	hönd	mano	хк’ич	手	ხელი	ёш, ёш паты	кусьпуль	алга, гар	қол	assak	dest	ಕೈ	손	кикар	ки	käsi	manus	бартка	капаш	kä’dlabā, ke’ž	ranka, plaštaka	plauksta, roka	кядь	копа́, кид	കൈ	gala	кат, катпатта	лапа	кедь	дютү, хяӈ	тамк	hand	hånd	käzi	къух	لاس	دست	dłoń	mão	mână	кисть	илии	giehta	утын олы, уты	кӣдт	ruka	rôka	gïete	giehta	kietâ	ǩiõtt	dorë	hand	கை	చేయి	el	кул	ки	рука	qo'l	käzitera, käzi	баһлцг	чальдьэӈ, чальдьэ	ӈуда, ӈудаʼ лембя	
Handfläche::N	анапсаргəыҵа	ӏэ́гу	ashke-kotoro	qisi-x́	كف	жанисахъат, огъохъат	ovuc	ус төбө	далонь	длан	করতল	palv	-tátas	альган	palma	кераюкъ	кагрэтлын’ын	手掌	dlaň	ал лаппи	palf	håndflade	хъат	къиду	Handfläche	pihk	παλάμη	palm	аму	palma	тунаӄ	ahur	ханӈа	kämmen	paume	bos	хоро, пайӈа	כף יד	हथेली	dlan	tenyér	ափ	lófi	palma	манзәӈ	手のひら	ხელისგული, ნები	ёш паты	ӄопт, ӄобдэ, баттөп	алга	алақан	itumak	kefadest	ಅಂಗೈ	손바닥	ки пыдӧс	ки пыдӧс	kämmen	palma	битӏянхъ, хъат	капан юкь	kä’dlabā	delnas, plaštaka	plauksta, delna	кядьлапш	со́во	ഉള്ളം കൈ	simhun hefeli	ка̄тпатта	кид лапа	кедькуншка, кедьлапушка	хяӈ	чылм	handpalm	håndflate	kämmen	армытъӕпӕн	ورغوی	کف دست	dłoń	palma, palma da mão	palmă	ладонь	ытыс	giehtaloahpu	утыт ще	ко̄а̄ллдэгк, кӣдткоалдэгк	dlaň	dlán	gïeten-låapoe	giehtavuodo, tjårmmåvuodo	kuámmir, kiämád	ǩiõttǩeä´m'men, kuä´m'mer	pëllëmbë	handflata	உள்ளங்கை	అరచేయు	el ayası, avuç	уч	ки пыдэс, кырым пыдэс	долоня	kaft	kämen	альхн	чалдьэдаримэ	пеʼ(н)	qańbə
Handtuch::N	ампахьшьы	ӏаплъэкӏ	hachimaki	angadaasi-x́, kidguusi-x́	فوطة, منشفة	беркӏалрацӏцӏ	dəsmal	таҫтамал	ручнік	кърпа за лице, пешкир	তোয়ালে	toailhon		аршуул	tovallola	гата	элгытавмалечгын	手巾	ručník	ал шӑлли	tywel, lliain sychu	håndklæde	дяхӏушкан	палатинце	Handtuch	käterätik	πετσέτα	towel	тэйди	toalla	тау̌ли	eskuoihal, eskuzapi	авуптын	pyyheliina	serviette, essuie-mains	tuáille	пуӈку	מגבת	अँगोछा	ručnik	törülköző	սրբիչ	þurrka, handklæði	asciugamano	ањӆханом	タオル	ხელსახოცი	венш муӈхты сох	холос	алчуур	сүлгі	allarut, allarterut	dezmal	ಚೌಕ	수건	чышкӧт	кизьчышъян, ки чышкӧд	käsipaikka	mantele	лажинлихьу, калихьу	дасмал	sīlmadǭ’rõn	rankšluostis	dvielis	на́рдама	со́лык	തോർത്ത്	fungku	вӣльтсэ̄гнэ то̄р	шӹргӹмсавыц, шӹргӹсавыц	нардамо	хорә нягибся	ӈыньк невс	handdoek	håndkle	käzipaikku	хисæрфæн	دسمال	حوله	ręcznik	toalha	ștergar, prosop	полотенце	соттор	sihkaldat	мучитый ӄампий	отеральнэхьк	uterák	brisáča	njaamelijnie	sigárdahka	siholdâs	u´tree´lniǩ, seekkldõs	peshqir	handduk	தண்டு	తువాలు	havlu	сөлгә	ӵушкон	рушник	sochiq	käzipaik	һар-нүүрин альчур, полотенц	ньаачэпилиэйэ	тэцяʼ(н)	ńačə-pelujə
Haufen::N	ачаҟəа	ӏат	epuinepi	kuuchu-x́	كوم	гъуни	yığın	өйөм	куча	грамада, куп	পুঞ্জ	bern	ċhal, dúuman	обоо	pila	сал, оьла		堆	hromada, kupa	купа	pentwr	bunke	бекӏа	гъоӏн	Haufen	hunnik	σωρός	heap	оначи	montón		mendoi, pila	урӯвӯ, мурбу	kasa	tas	cnap		ערמה	अंबार, ढेर	hrpa, gomila	halom	կույտ, դեզ	haugur, hrúga	mucchio, cùmulo		堆積	გროვა	похал, пай	дапӄуль	бөөн	үйме, үйінді	eqimattat	lod	ರಾಶಿ	퇴적	куча	чукӧр	tukku	acervus	бакӏу	хара	kū’j, tšupā	šūsnis, krūva	čupa, grēda, kaudze	мар	кы́шыл	കൂമ്പാരം	borhon	аня	ара	валявкс, мар	сунә, кәмнә		hoop	haug, bunke	tukku	кӕри	کوټه	توده	kupa	pilha	grămadă	куча	чөмчөх	látna	мекты	поанн	hŕba	kopíca, kùp	håevkie, deava	hårre	laaṇâ	laađđ	grumbull	hög	குவியல்	రాశి	yığın, küme	өем	люк	купа	uyum	kogo	ова	солхо	ӈонерˮ	
Haus::N	аҩны	унэ́	chisei	ula-x́	دار, بيت	рукъзал, ригь	ev	өй, йорт	дом	къща	ঘর	ti	manzíl, ha	гэр, байшан	casa	цӏа	яран’ы	房屋	dům	ҫурт	tŷ	hus	хъали	хӏутку	Haus	maja	σπίτι	house	камоз	casa	гуйгу, мыӈтыӷаӄ	etxe	дю̄ 	talo	maison	teach	дё̄	בית	मकान, घर	kuća	ház	տուն	hús	casa	кист	家	სახლი	хот	иӷусь, иӈӷусь	байшин, гэр	үй	illu	mal, xanî	ಮನೆ	집	керку	керка	talo	aedes	къатта	ужагъ	kuodā	namas	māja	куд	пӧрт	വീട്	gurun, boo, ūlen	кол	пöрт	кудо	коруˮ	тыф	huis	hus	taloi	хӕдзар	کور	منزل	dom	casa	casă	дом	дьиэ	stohpu	мөт	пэ̄ҏҏт	dom	híša	ståapoe	goahte	tááḷu	tääll	shtëpi	hus	வீடு	ఇల్లు	ev	өй, йорт	юрт	дім, хата	uy	pert'	гер	нимэ	харӑд	numö
Haut::N	ацəа	кӏы́шъу	kap	qachx́-	بشرة	тӏом	dəri	тире	скура	кожа	ত্বক	kroc'hen	baṭ	арһан	pell	чкъор	гылгын	皮肤	kůže	тир	croen	hud	кули		Haut	nahk	πετσί	skin	тобъя	piel		azal	 кикикта	iho	peau	cneas, craiceann	хэрэктэ	עור	चर्म, त्वचा	put, koža	bőr	մաշկ	húð, skinn	pelle	кылвыӆҳ	皮膚	კანი	эӆ поням		арьс	тері	mattak	çerm	ಚರ್ಮ	살갗	кучик	ку	nahka	cutis, pellis	бурчу	хам	nōgõ	oda	āda	киське	кова́ште	ചർമ്മം	notho, sukū	но̄вим сав	кавашты	киське	кухуо	ӿал, ӿут	huid	hud, skinn	hibju	царм	پوټکی	پوست	skóra	pele	piele	кожа	тирии	liiki	ӄопы	лышшьк	koža	kóža	njaltja	lijkke, tjuobma	liške	le´šǩǩ	lëkurë	skinn, hud	சருமம்	చర్మము	cilt	тире	ку	шкіра	teri	nahk	арсн	сава, саваӈ	ӈая	qār
Heim::N	аҭаацəа	унэ́	uni	ula-x́	بيت, مسكن	рукъ	ev	өй	хата, дом	дом	বাসা	kêr		гэр, байшан	llar	кхерч	яран’ы	家	domov	кил	cartref	hjem	хъали, юрт	хӏутку	Heim	kodu	σπίτι	home	мя	hogar	гуйгу	etxaleku, etxe	дю̄ 	koti	maison	baile	дё̄	בית	गृह, घर	dom	otthon	տուն	heimili	casa		家	ოჯახის კერა	хот	иӈӷусь	гэр	шаңырақ, үйлі		mal	ಗೃಹ	집	керку	горт	koti	domicilium	къатта	кӏвал	kuod	namai	mājas	куд	мӧ́ҥгӧ	വീട്	susu	кол	пöрт	кудо	маˮ		tehuis	hjem	kodi	къона	کور	کاشانه, خانه	dom	lar, casa	cămin, casă	дом	дьиэ	ruoktu	мөт	пэ̄ҏҏт	domov	dóm	hïejme	viesso	päikki	päi´ǩǩ	konak, shtëpi	hem	வீடு	స్వగృహము	yurt, ev	гаилә, нәсел	корка	житло	makon	kodi	гер-бул	нимэ	мяˮ(д)	
Hemd::N	акьаҿ	джан		luhmaax́a-x́	قميص	гурде	köynək	күлдәк	кашуля	риза	শার্ট	roc'hed		самса	camisa	коч	мычыквын	衬衫	košile	кӗпе	crys	skjorte	хӏева	гед	Hemd	särk	πουκάμισο	shirt	лубаха	camisa	аткуяӄ	atorra, alkandora	урба̄кэ	paita	chemise	léine	эӈгэрэгдэ	חלצה	कुरता, क़मीज़	košulja	ing	վերնաշապիկ	skyrta	camicia	урваӄ	シャツ	პერანგი, ხალათი	ернас	сюят	цамц	жейде	ilupaaq	miltan, qutik	ಅಂಗಿ	속옷	йӧрнӧс	дӧрӧм	paita	tunica	гьухъа	перем	serk	marškiniai	krekls	па́нар	ту́выр	ഷർട്ട്	cimci, gahari	суп	тыгыр	панар	урубаакә	лар̌ӄ	hemd	skjorte	paidu	хӕдон	کميس	پیراهن	koszula	camisa	cămașă	рубашка	ырбаахы	báidi	ӄяйпорӄы	па̄ййт	košeľa	srájca	sjåarhtoe	skirtto	päiđi	päidd	këmishë	skjorta	சட்டை	చొక్కాయ	gömlek	күлмәк	дэрем	сорочка	ko'ylak	paid	киилг	урубака	имбытˮ(д)	
Herz::N	агəы	гу	sambe	kanuux́	قلب	ракӏ	ürək	йорәк	сэрца	сърце	হৃৎপিণ্ড	kalon	-s	зүрхэн	cor	дог	линлин’	心	srdce	чӗре	calon	hjerte	уркӏи	рокӏу	Herz	süda	καρδιά	heart	сԑй	corazón	иӽсяӄуӄ	bihotz	ме̄ван	sydän	cœur	croí	миаван	לב	दिल, हृदय	srce	szív	սիրտ	hjarta	cuore	лиӈч	心臓, 心	გული	сам	ху, хуу	зүрх	жүрек	uummat	dil	ಹೃದಯ	염통	сьӧлӧм	сьӧлӧм	syväin	animus, cor	къюкӏ, дакӏ	рикӏ	sidām	širdis	sirds	седи	шӱм	ഹൃദയം	niyaman	сым	шӱм	седей	сәә	ӈиф	hart	hjerte	syväin	зӕрдӕ	زړه	قلب, دل	serce	coração	inimă	сердце	сүрэх	váibmu	сичи	кӯттҌк	srdce	srcé	vaajmoe	tsåhke	váimu	čââ´đ	zemër	hjärta	இதயம	హృదయము	kalp, yürek	йөрәк	сюлэм	серце	qalb	südäin	зүркн	сугудьэ	сей	šubeďə
Heu::N	аҭəа	мэкъу	wattesh	qiigam qakangin	دريس	хер	quru ot	бесән	сена	сено	খড়	foenn	buyám ṣiqá	үбһэн, сено	fenc	йол	кыкватвъай	干草	seno	утӑ	gwair	hø	мура	бих	Heu	hein	σανός	hay	ӈуу	heno	выгаӄ кинӄаӄ	belar ondu	хорокто, орокто	heinä	foin	féar	паякта	חציר	मूखी घास	sijeno	széna	խոտ	hey	fieno	сэна’	干し草	თივა	торн		өвс	шөп		sap	ಕರಡ	건초	турун	турун	heinä	faenum	ххулув	векьер, векь	āina	šienas	siens	тише	шу́до	വയ്ക്കോൽ	hife	то̄сам пум	шуды	тикше		че сӈыр̌	hooi	høy	heiny	хос	پروړه, بوس	علف خشک	siano	feno	fân	сено	от	suoidni	нюты	сӯййн	seno	senó	suejnieh	ájvve	syei'ni	suei´nn	sanë	hö	வைக்கோல்	ఎండుగడ్డి	kuru ot	печән	турын	сіно	xashak	hein	өвсн		ӈумʼ	
